700.0000	111.687
699.0000	111.599
698.0000	111.572
697.0000	111.494
696.0000	111.489
695.0000	111.534
694.0000	111.531
693.0000	111.515
692.0000	111.517
691.0000	111.549
690.0000	111.47
689.0000	111.448
688.0000	111.332
687.0000	111.301
686.0000	111.254
685.0000	111.31
684.0000	111.418
683.0000	111.557
682.0000	111.723
681.0000	111.939
680.0000	112.145
679.0000	112.286
678.0000	112.283
677.0000	112.203
676.0000	112.14
675.0000	112.151
674.0000	112.159
673.0000	112.163
672.0000	112.111
671.0000	112.059
670.0000	112.039
669.0000	112.048
668.0000	112.144
667.0000	112.133
666.0000	112.151
665.0000	112.074
664.0000	112.046
663.0000	112.075
662.0000	112.094
661.0000	112.161
660.0000	112.172
659.0000	112.224
658.0000	112.182
657.0000	112.16
656.0000	112.094
655.0000	112.056
654.0000	112.057
653.0000	112.029
652.0000	112.02
651.0000	112.08
650.0000	112.105
649.0000	112.046
648.0000	111.997
647.0000	112.018
646.0000	112.031
645.0000	112.018
644.0000	112.031
643.0000	112.025
642.0000	112.053
641.0000	112.077
640.0000	112.028
639.0000	112.023
638.0000	111.984
637.0000	111.921
636.0000	111.836
635.0000	111.749
634.0000	111.695
633.0000	111.663
632.0000	111.784
631.0000	111.799
630.0000	111.915
629.0000	111.913
628.0000	111.895
627.0000	111.908
626.0000	111.908
625.0000	111.984
624.0000	111.969
623.0000	111.97
622.0000	111.928
621.0000	111.936
620.0000	111.94
619.0000	111.918
618.0000	112.012
617.0000	111.966
616.0000	111.975
615.0000	111.945
614.0000	111.959
613.0000	112.098
612.0000	112.213
611.0000	112.357
610.0000	112.414
609.0000	112.442
608.0000	112.343
607.0000	112.192
606.0000	112.084
605.0000	112.001
604.0000	112.022
603.0000	112.025
602.0000	112.05
601.0000	112.028
600.0000	112.084
599.0000	112.056
598.0000	112.083
597.0000	112.087
596.0000	112.166
595.0000	112.194
594.0000	112.245
593.0000	112.19
592.0000	112.197
591.0000	112.15
590.0000	112.097
589.0000	112.094
588.0000	112.115
587.0000	112.166
586.0000	112.178
585.0000	112.136
584.0000	112.114
583.0000	112.1
582.0000	112.095
581.0000	112.117
580.0000	112.138
579.0000	112.157
578.0000	112.17
577.0000	112.193
576.0000	112.199
575.0000	112.196
574.0000	112.189
573.0000	112.159
572.0000	112.134
571.0000	112.187
570.0000	112.266
569.0000	112.325
568.0000	112.304
567.0000	112.247
566.0000	112.253
565.0000	112.206
564.0000	112.226
563.0000	112.212
562.0000	112.209
561.0000	112.226
560.0000	112.16
559.0000	112.122
558.0000	112.051
557.0000	112.079
556.0000	112.038
555.0000	112.066
554.0000	112.031
553.0000	112.054
552.0000	112.076
551.0000	112.126
550.0000	112.156
549.0000	112.198
548.0000	112.163
547.0000	112.174
546.0000	112.159
545.0000	112.167
544.0000	112.166
543.0000	112.194
542.0000	112.265
541.0000	112.326
540.0000	112.342
539.0000	112.368
538.0000	112.303
537.0000	112.232
536.0000	112.145
535.0000	112.157
534.0000	112.096
533.0000	112.138
532.0000	112.111
531.0000	112.19
530.0000	112.208
529.0000	112.261
528.0000	112.262
527.0000	112.276
526.0000	112.291
525.0000	112.355
524.0000	112.362
523.0000	112.299
522.0000	112.345
521.0000	112.41
520.0000	112.383
519.0000	112.262
518.0000	112.233
517.0000	112.198
516.0000	112.128
515.0000	112.099
514.0000	112.076
513.0000	112.07
512.0000	112.084
511.0000	112.136
510.0000	111.98
509.0000	111.926
508.0000	112.009
507.0000	111.975
506.0000	112.007
505.0000	111.967
504.0000	111.912
503.0000	111.847
502.0000	111.828
501.0000	111.872
500.0000	111.925
499.0000	111.943
498.0000	111.958
497.0000	111.974
496.0000	111.965
495.0000	111.943
494.0000	112.009
493.0000	112.039
492.0000	112.023
491.0000	112.018
490.0000	111.966
489.0000	112.031
488.0000	112.064
487.0000	112.1
486.0000	112.165
485.0000	112.157
484.0000	112.115
483.0000	112.044
482.0000	112.087
481.0000	112.156
480.0000	112.209
479.0000	112.23
478.0000	112.224
477.0000	112.258
476.0000	112.388
475.0000	112.362
474.0000	112.32
473.0000	112.217
472.0000	112.158
471.0000	112.089
470.0000	112.022
469.0000	111.909
468.0000	111.93
467.0000	111.936
466.0000	112.034
465.0000	112.008
464.0000	112.001
463.0000	111.985
462.0000	111.954
461.0000	111.94
460.0000	111.882
459.0000	111.917
458.0000	111.887
457.0000	111.935
456.0000	111.896
455.0000	111.888
454.0000	111.99
453.0000	111.999
452.0000	112.008
451.0000	111.994
450.0000	112.14
449.0000	112.131
448.0000	112.136
447.0000	112.145
446.0000	112.171
445.0000	112.181
444.0000	112.148
443.0000	112.158
442.0000	112.148
441.0000	112.329
440.0000	112.327
439.0000	112.273
438.0000	112.226
437.0000	112.205
436.0000	112.233
435.0000	112.275
434.0000	112.341
433.0000	112.465
432.0000	112.431
431.0000	112.424
430.0000	112.283
429.0000	112.273
428.0000	112.207
427.0000	112.224
426.0000	112.214
425.0000	112.358
424.0000	112.464
423.0000	112.411
422.0000	112.327
421.0000	112.217
420.0000	112.219
419.0000	112.204
418.0000	112.334
417.0000	112.386
416.0000	112.452
415.0000	112.411
414.0000	112.321
413.0000	112.249
412.0000	112.289
411.0000	112.356
410.0000	112.502
409.0000	112.554
408.0000	112.567
407.0000	112.604
406.0000	112.584
405.0000	112.515
404.0000	112.458
403.0000	112.402
402.0000	112.575
401.0000	112.678
400.0000	112.731
